"No, do not allow members to delete their folders.";"No, do not allow members to delete their folders."
"Allow Commenting on Folders?";"Allow Commenting on Folders?"
"Do you want to let members of this level comment on folders?";"Do you want to let members of this level comment on folders?"
"Yes, allow members to comment on all folders, including private ones.";"Yes, allow members to comment on all folders, including private ones."
"Yes, allow members to comment on folders.";"Yes, allow members to comment on folders."
"No, do not allow members to comment on folders.";"No, do not allow members to comment on folders."
"File extensions?";"File extensions?"
"If you want to allow specific file extensions, you can enter them below (separated by commas). Example: txt, pdf, ppt, doc. Leave * for any file type";"If you want to allow specific file extensions, you can enter them below (separated by commas). Example: txt, pdf, ppt, doc. Leave * for any file type"
"Scribd Settings";"Scribd Settings"
"These settings affect document preview page and the way scribd document is embedded.";"These settings affect document preview page and the way scribd document is embedded."
"Scribd Api Key";"Scribd Api Key"
"Insert your Scribd Api key";"Insert your Scribd Api key"
"Scribd Api Secret";"Scribd Api Secret"
"Insert your Scribd Api secret";"Insert your Scribd Api secret"
"View mode";"View mode"
"Set the default view mode for the document";"Set the default view mode for the document"
"List";"List"
"Book";"Book"
"Slide show";"Slide show"
"Width";"Width"
"The width of embedded document, in pixels. If this parameter is not sepecified, the embedded document will attempt to size itself correctly for the page it's embedded in.";"The width of embedded document, in pixels. If this parameter is not sepecified, the embedded document will attempt to size itself correctly for the page it's embedded in."
"Height";"Height"
"The height of embedded document, in pixels. If this parameter is not sepecified, the embedded document will attempt to size itself correctly for the page it's embedded in.";"The height of embedded document, in pixels. If this parameter is not sepecified, the embedded document will attempt to size itself correctly for the page it's embedded in."
"You do not permission to %s the folder %s";"You do not permission to %s the folder %s"
"You do not permission to %s the file %s";"You do not permission to %s the file %s"
"Edit";"Edit"
"Share";"Share"
" Bytes";" Bytes"
" MB";" MB"
" KB";" KB"
"Browse Folders";"Browse Folders"
"Manage My Folders";"Manage My Folders"
"Manage Shared Links";"Manage Shared Links"
"There is no shared folders or shared files.";"There is no shared folders or shared files."
"Upload File";"Upload File"
"Edit Permission";"Edit Permission"
"Upload file(s)";"Upload file(s)"
"Use this control if your browser doesn't support Drap and Drop";"Use this control if your browser doesn't support Drap and Drop"
"Start Upload";"Start Upload"
"Flie Sharing";"Flie Sharing"
"Folder View Page";"Folder View Page"
"FileSharing Folder View Page";"FileSharing Folder View Page"
"This is the file sharing folder view page.";"This is the file sharing folder view page."
"Please drop your files here";"Please drop your files here"
"No file to upload";"No file to upload"
"File Sharing Search";"File Sharing Search"
"Cannot move to the folder to itself.";"Cannot move to the folder to itself."
"Moved unsuccessfully ! The destination folder is one of the subfolders with the folder ";"Moved unsuccessfully ! The destination folder is one of the subfolders with the folder "
"Moved unsuccessfully ! There is a subfolder of the destination folder having the same name the the moved folder";"Moved unsuccessfully ! There is a subfolder of the destination folder having the same name the the moved folder"
"ITEM_TYPE_FOLDER";"Folders"
"ITEM_TYPE_FILE";"Files"
"Are you sure that you want to delete this link? It will not be recoverable after being deleted.";"Are you sure that you want to delete this link? It will not be recoverable after being deleted."
"Folders";"Folders"
"Uploaded %s file successfully";"Uploaded %s file successfully";"Uploaded %s files successfully"
"Folder ""%s"" is created successfully !";"Folder ""%s"" is created successfully !"
"Remove";"Remove"
"There is no folders and files.";"There is no folders and files."
"There is no folders and files. Please <a href=""%s"">create</a> one!";"There is no folders and files. Please <a href=""%s"">create</a> one!"
"Deleted folder successfully";"Deleted folder successfully"
"Public Folders";"Public Folders"
"My Folders";"My Folders"
"FILESHARING_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"A folder name can\'t contain any of the following character: /\:*?""<>|";"A folder name can\'t contain any of the following character: /\:*?""<>|"
"A file name can\'t contain any of the following character: /\:*?""<>|";"A file name can\'t contain any of the following character: /\:*?""<>|"
"A folder name can\'t have any of the following names: CON, PRN, AUX, NUL, COM1, COM2, COM3, COM4, COM5, COM6, COM7, COM8, COM9, LPT1, LPT2, LPT3, LPT4, LPT5, LPT6, LPT7, LPT8, and LPT9";"A folder name can\'t have any of the following names: CON, PRN, AUX, NUL, COM1, COM2, COM3, COM4, COM5, COM6, COM7, COM8, COM9, LPT1, LPT2, LPT3, LPT4, LPT5, LPT6, LPT7, LPT8, and LPT9"
"A file name can\'t have any of the following names: CON, PRN, AUX, NUL, COM1, COM2, COM3, COM4, COM5, COM6, COM7, COM8, COM9, LPT1, LPT2, LPT3, LPT4, LPT5, LPT6, LPT7, LPT8, and LPT9";"A file name can\'t have any of the following names: CON, PRN, AUX, NUL, COM1, COM2, COM3, COM4, COM5, COM6, COM7, COM8, COM9, LPT1, LPT2, LPT3, LPT4, LPT5, LPT6, LPT7, LPT8, and LPT9"

"YNFILESHARING_AUTH_VIEW_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can view their folders. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"YNFILESHARING_AUTH_CREATE_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can create sub folders in their folders. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"YNFILESHARING_AUTH_EDIT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can edit their folders. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"YNFILESHARING_AUTH_DELETE_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can delete their folders. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
"YNFILESHARING_AUTH_COMMENT_DESCRIPTION";"Your members can choose from any of the options checked below when they decide who can comment on their folders. If you do not check any options, settings will default to the last saved configuration. If you select only one option, members of this level will not have a choice."
