"My Playlists";"My Playlists"
"Create New Playlist";"Create New Playlist"
"Playing";"Playing"
"No channels found.";"No channels found."
"No playlists found.";"No playlists found."
"No videos found.";"No videos found."
"Unsubscribe successfully.";"Unsubscribe successfully."
"Favorite";"Favorite"
"Un-favorite";"Un-favorite"
"Un-favorites";"Un-favorites"
"Favorites";"Favorites"
"Add to playlist";"Add to playlist"
"add to playlist";"add to playlist"
"Add to new playlist";"Add to new playlist"
"Add a channel";"Add a channel"
"You have already shared this channel.";"You have already shared this channel."
"Please provide a valid URL for your channel.";"Please provide a valid URL for your channel."
"Paste the web address of the Youtube channel here.";"Paste the web address of the Youtube channel here."
"You have no friends you can invite.";"You have no friends you can invite."
"Drag & drop to reorder videos in channel";"Drag & drop to reorder videos in channel"
"Category:";"Category:"
"Stop auto update";"Stop auto update"
"Auto update";"Auto update"
"Add more videos";"Add more videos"
"Edit channel";"Edit channel"
"Delete channel";"Delete channel"
"&#171; Previous";"&#171; Previous"
"Next &#187;";"Next &#187;"
"Edit playlist";"Edit playlist"
"Delete playlist";"Delete playlist"
"Viewing Mode";"Viewing Mode"
"Unsubscribe";"Unsubscribe"
"Subscribe";"Subscribe"
"Edit video";"Edit video"
"Delete video";"Delete video"
"None";"None"
"manage custom fields";"manage custom fields"
"add sub-category";"add sub-category"
"view sub-category";"view sub-category"
"Add Category";"Add Category"
"There is an error occured. Please try again.";"There is an error occured. Please try again."
"Send to Friends";"Send to Friends"
"Report";"Report"
"Close";"Close"
"Search results for";"Search results for"
"This channel is already added.";"This channel is already added."
"Please input the playist title!";"Please input the playist title!"
"Create new playlist successfully.";"Create new playlist successfully."
"Channels";"Channels"
"Checking URL...";"Checking URL..."
"You have already uploaded the maximum number of videos allowed.";"You have already uploaded the maximum number of videos allowed."
"Category";"Category"
"Posted by";"Posted by"
"View more";"View more"
"View less";"View less"
"Tags:";"Tags:"
"Video Specifications";"Video Specifications"
"Please login to rate";"Please login to rate"
"Click to rate";"Click to rate"
"Thanks for rating!";"Thanks for rating!"
"The video you are looking for does not exist or has not been processed yet.";"The video you are looking for does not exist or has not been processed yet."
"Video Channel";"Video Channel"
"Edit";"Edit"
"Autoplay";"Autoplay"
"Repeat";"Repeat"
"Shuffle";"Shuffle"
"Previous";"Previous"
"Next";"Next"
"show all";"show all"
"hide";"hide"
"Video doesn't exists or not authorized to delete.";"Video doesn't exists or not authorized to delete."
"These settings affect all members in your community.";"These settings affect all members in your community."
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Are you sure you want to delete this channel?";"Are you sure you want to delete this channel?"
"Are you sure you want to delete this playlist?";"Are you sure you want to delete this playlist?"
"Are you sure you want to remove this video from your Favorite Videos list?";"Are you sure you want to remove this video from your Favorite Videos list?"
"Do you want to unsubscribe this channel?";"Do you want to unsubscribe this channel?"
"Are you sure you want to delete this video?";"Are you sure you want to delete this video?"
"Global Settings";"Global Settings"
"Member Level Settings";"Member Level Settings"
"Delete Channel";"Delete Channel"
"Delete Playlist";"Delete Playlist"
"Send to friends";"Send to friends"
"Unfavorite Video";"Unfavorite Video"
"Unsubscribe Channel";"Unsubscribe Channel"
"Delete Video";"Delete Video"
"Number of channels will be shown when clicking on Find Channels? (Enter a number between 1 and 50)";"Number of channels will be shown when clicking on Find Channels? (Enter a number between 1 and 50)"
"Number of videos will be grabbed when adding a channel? (Enter a number between 1 and 50)";"Number of videos will be grabbed when adding a channel? (Enter a number between 1 and 50)"
"Number of videos will be get automatically when updating a channel? (Enter a number between 1 and 50)";"Number of videos will be get automatically when updating a channel? (Enter a number between 1 and 50)"
"Please fill in the API key for parsing Youtube video";"Please fill in the API key for parsing Youtube video"
"Enable auto playing shared videos?";"Enable auto playing shared videos?"
"Enable ""Full Screen"" feature for video?";"Enable ""Full Screen"" feature for video?"
