"pagetitle-page-level-admin-permission";"Permissions"
"pagetitle-pagediscussion-index-admin-settings";"Pages - Discussions Extension"
"pagetitle-pagealbum-index-admin-settings";"Pages - Albums Extension"
"pagetitle-pageblog-index-admin-settings";"Pages - Blog Extension"
"pagetitle-pagedocument-index-admin-index";"Pages - Document Extension"
"pagetitle-pagedocument-categories-admin-index";"Pages - Document Extension"
"pagetitle-pagemusic-index-admin-settings";"Pages - Music Extension"
"pagetitle-pageevent-index-admin-settings";"Pages - Events Extension"
"Page Global Settings";"Settings"
"PAGE_FORM_ADMIN_GLOBAL_DESCRIPTION";"These settings affect all members in your community."
"PAGE_SETTING_GMAPKEY_DESC";"Please enter your Google Map API Key which is needed for your Pages maps, if you do not have one, you can get it for free at <a href='http://code.google.com/apis/maps/signup.html' target='_blank' >Google Maps API</a>"
"Google Map Key";"Google Map Key"
"Item Count on Browse Page";"Items Per Page"
"PAGE_SETTING_BROWSE_COUNT";"The number of pages on Browse page"
"Recent Pages Count";"Recent Pages Count"
"PAGE_SETTING_RECENT_COUNT";"The number of pages on `Recent Pages` widget"
"Popular Pages Count";"Popular Pages Count"
"PAGE_SETTING_POPULAR_COUNT";"The number of pages on `Most Popular Pages` widget"
"Featured Pages Count";"Featured Pages Count"
"Sponsored Pages Count";"Sponsored Pages Count"
"PAGE_SETTING_FEATURED_COUNT";"The number of pages on `Featured Pages` widget"
"PAGE_SETTING_SPONSORED_COUNT";"The number of pages on `Sponsored Pages` widget"
"PAGE_SETTING_APPROVAL";"Auto-approve new submitted pages"
"New Pages Approval";"Pages Auto-approval"
"Are you sure you want to delete the selected pages?";"Are you sure you want to delete the selected pages?"
"Are you sure you want to delete this page?";"Are you sure you want to delete this page?"
"This is a list all pages created by your users. You can approve, disapprove or delete them. Use form to filter pages.";"Browse pages created by your users, choose filter criteria to find appropriate pages. You can approve, disapprove or delete pages. Please note that disapproved pages are not shown on Browse Pages and widgets."
"%s page found";"%s page found";"%s pages found"
"Title";"Title"
"Owner";"Owner"
"Views";"Views"
"views";"views"
"Date";"Date"
"Options";"Options"
"Untitled";"Untitled"
"Uncategorized";"Uncategorized"
"view";"view"
"delete";"delete"
"approve";"approve"
"disapprove";"disapprove"
"set featured";"set featured"
"set usual";"set usual"
"Delete Selected";"Delete Selected"
"pages_admin there are no pages";"There are no pages posted by your members yet."
"PAGE_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a member level basis. Start by selecting the member level you want to modify, then adjust the settings for the level below."
"PAGE_FORM_ADMIN_LEVEL_VIEW_DESCRIPTION";"Do you want to let members create pages?"
"Page Level Settings";"Pages Level Settings"
"Allow Page Creation?";"Allow Creation of Pages?"
"Your members can choose from any of the options checked below when they decide who can see their pages.";"Your members can choose any from the options checked below when they decide who can see their pages."
"Your members can choose from any of the options checked below when they decide who can post comments on their pages.";"Your members can choose any from the options checked below when they decide who can post comments on their pages."
"Your members can choose from any of the options checked below when they decide who can post content on their pages.";"Your members can choose any from the options checked below when they decide who can post content on their pages."
"Page Privacy";"Pages Privacy"
"Page Comment Options";"Pages Comment Options"
"Page Posting Options";"Pages Posting Options"
"Page Fields";"Page Fields"
"Create your own field system in Page Plugn.";"Your members will be asked to provide some information about their Pages when submitting or editing their Page. Create some fields that allow them to describe their Page. To reorder the page fields, click on their names and drag them up or down. If you want to show different sets of fields to different types of pages, you can create multiple "page types". This is useful, for example, if you want your community to have actors page and restaurant pages, each with a different set of page fields."
"Editing Page Type";"Editing Page Type(Category)"
"Add Field";"Add Field"
"Add Heading";"Add Heading"
"Edit Category";"Edit Category"
"Delete Category";"Delete Category"
"Create New Category";"Create New Category"
"New Category Set";"New Category Set"
"Save Order";"Save Order"
"This category set will be permanently deleted. Continue?";"This category set will be permanently deleted. Continue?"
"Categories"; "Categories"

"PAGE_VISITORS_DESC";"<span class='bold'>Visitors</span> - Total number of unique visitors who have viewed your Page per day/month.<br />"
"PAGE_VIEWS_DESC";"<span class='bold'>Page Views</span> - Total number of times your Page have been viewed per day/month.<br />"
"PAGE_MAP_DESC";"<span class='bold'>Map Overlay</span> - Use this map to visualize your Page visitors by geographic region."

"_CORE_PAGE_STATS_UNIQUE";"Visitors Statistics"
"_CORE_PAGE_STATS_VIEWS";"Views Statistics"
"_CORE_PAGE_STATS_LIKES";"Like Statistics"
"Page Plugin";"Pages Plugin"
"Page Layout Editor";"Page Layout Editor"
"PAGE_LAYOUT_DESC";"This layout editor allows you to customize look and features set of your page. Choose your favorite layout and add widgets and place it to any wished position. If you would like to add you custom HTML code then please use `HTML Block` widget."
"Editing:";"Editing:"
"Save Changes";"Save Changes"
"Create Page";"Create Page"
"View Page";"View Page"
"Delete Page";"Delete Page"
"Back To Edit Page Dashboard";"Back to Edit Page Dashboard"
"Page Block Placement";"Page Block Placement"
"Select a new column layout for this page.";"Select a new column layout for this page."
"and keep your current layout.";"and keep your current layout."
"Edit Columns";"Edit Columns"
"Global Header";"Global Header"
"Global Footer";"Global Footer"
"Drop things here to add them to the global header.";"Drop things here to add them to the global header."
"Available Blocks";"Available Blocks"
"Tabbed Blocks";"Tabbed Blocks"
"edit";"edit"

"Error: no values";"Error: no values"

"Sort by";"Sort by"
"Newest";"Newest"
"Show on the Map";"Show on the Map"
"Show List";"Show List"
"View:";"View:"
"Most Popular";"Most Popular"
"Alphabetically";"Alphabetically"
"Category";"Category"
"Category Set"; "Category Set"
"Total Fans";"Total Fans"
"Tags";"Tags"
"There is no pages";"There are no pages."

"Pages";"Pages"
"HE_Pages";"Pages"
"Fans";"Fans"
"Unique Visitors";"Unique Visitors"
"Page Views";"Page Views"
"Data for last 30 days";"Data for last 30 days"
"View Detailed Statistics";"View Detailed Statistics"
"Admins";"Admins"
"PAGE Add";"Add Admin"
"PAGE_TEAM_MANAGE";"Manage Team"
"PAGE_EMPLOYER_ADD";"Add Employee"
"Admin";"Admin"
"Remove Admin";"Remove Admin"
"Information";"Information"
"Edit";"Edit"
"Hide";"Hide"
"Edit your Page title, description, location and other information.";"Below you can edit basic settings of your page: title, description, location, website, phone, page type, etc."
"Privacy Settings";"Privacy Settings"
"Edit your Page privacy settings: who can view, post content, etc.";"Below you can edit your page privacy settings: who is allowed to view your page, post blogs, upload videos, leave comments, etc.<br /><br />
<b>Only page creator is allowed to change privacy of the page.</b>"
"Photo";"Photo"
"Edit your Page photo.";"Change your page profile photo, it allows to attract more visitors to your page."
"Delete Photo";"Delete Photo"
"Layout";"Layout"
"Edit your Page layout - add new wid, change apps position, etc.";"Edit your Page layout - add new widgets, change widgets position, etc."
"Statistics";"Statistics"
"Country/Territory";"Country/Territory"
"Visitors";"Visitors"
"Percentage";"Percentage"
"Back To Edit Page Dashboard";"Back to Edit Page Dashboard"
"Previous";"Previous"
"Next";"Next"

"Page Details";"Details"
"Title";"Title"
"Description";"Description"
"Address";"Address"
"Page Address";"Address"
"Website";"Website"
"Phone";"Phone"
"View Larger Map";"View Larger Map"
"Write something about %s page.";"Write something about %s page."
"My Pages";"My Pages"
"HE_My Pages";"My Pages"
"Create New Page";"Create New Page"

"This URL is already taken by other page.";"This URL has already been taken by other page owner."
"No rights";"You do not have rights to view this page."
"Undefined page.";"Undefined page."
"This url is free.";"This url is free."
"Page with this url is already exists.";"Page with this url have already been created."
"The image you selected was too large.";"The image you selected is too large."
"This URL is already taken by other page.";"This URL has already been taken by other page owner."

"PAGE_DELETE_DESC";"Are you sure you want to delete page %s? <br />Deleting this page you will delete all content related <br />to this page, including photos, widgets and etc."
"Changes have been successfully saved.";"Changes have been successfully saved."
"Image was successfully proccessed.";"Image has been successfully processed."
"Settings were successfully saved.";"Settings have been successfully saved."
"Do not specified editting type.";"You did not specified editing type."

"Approved";"Approved"
"Featured";"Featured"
"Search";"Search"

"Fans, Admins and Owner";"Fans, Admins and Owner"
"Admins and Owner";"Admins and Owner"
"Fans";"Fans"
"Team";"Team"
"Save Changes";"Save Changes"
"This month";"This month"
"This year";"This year"
"By day";"By day"
"By month";"By month"
"Filter";"Filter"
"Are you sure you want to delete page team?";"Are you sure you want to delete page team?"
"Delete";"Delete"
"cancel";"cancel"
"Delete Page Admin";"Delete Page Admin"
"PAGE_CREATE_DESC";"Communicate with your customers and fans by creating and maintaining your official Page."
"PAGE_CREATE_TITLE";"Create New Page"

"PAGE_CREATE_URL_DESC";"You can set custom destination to make it easier for people to find your Page. The URL may only contain alphanumeric characters and dashes. The full url will be <span id='page_url_placeholder'>http://%s</span>"

"Search Privacy";"Search Privacy"
"Include this page in search results?";"Do you want to include this page in search results?"
"Yes, include in search results.";"Yes, include this page in search results."
"No, hide from search results.";"No, hide this page from search results."
"Admins and Owner Only";"Admins and Owner Only"
"View Privacy";"View Privacy"
"Who can see this page?";"Who is allowed to see this page? Note: the page will be shown in listings but can be viewed only by selected below people:"
"Comment Privacy";"Comment Privacy"
"Who can comment photos, videos, blogs and events?";"Who is allowed to leave comments on photos, videos, blogs, music, events, etc and post on the wall?"
"Save";"Save"

"Published by";"Published by"

"page";"page";"pages"
"%s page";"%s page";"%s pages"

"View All Pages";"View All Pages"
"page_Use this form to search content within this page.";"Use this form to search content within this page."
"page_menu_Page";"HE - Page"
"Content sorted by %s tag.";"Content sorted by <b>%s</b> tag."
"Share Page";"Share Page"
"Note";"Note"
"Tag Cloud";"Tag Cloud"
"Reviews";"Reviews"

"{actors:$subject:$object} created a new page: ";"{item:$object} page has been created"
"{actors:$subject:$object} created new {item:$object:$label}.";"{actors:$subject:$object} created new {item:$object:$label}."
"{item:$subject} created new {item:$object:$label}.";"{item:$subject} created new {item:$object:$label}."

"{var:$content}";"{var:$content}"
"Add admins";"Add admins"
"Pages sorted by";"Pages sorted by"
"tag";"tag"
"Loading...";"Loading..."

"ITEM_TYPE_PAGE";"Pages"
"_ACTIVITY_ACTIONTYPE_PAGE_CREATE";"New page creation"
"ADMIN_ACTIVITY_TYPE_PAGE_CREATE";"When someone creates a page"

"Page Rate";"Page Rate"
"Displays the page's rate information.";"Displays the page's rate information."

"Page Activity Feed";"Page Activity Feed"
"Displays the page's activity feed(wall).";"Displays the page's activity feed(wall)."
"Updates";"Updates"
"page_Updates";"Updates"

"Page Photo";"Page Photo"
"Displays the page's photo(logo).";"Displays the page's photo(logo)."

"Page Like Status";"Page Like Status"
"Displays the page's `likes` options.";"Displays the page's `likes` options."

"Page Map";"Page Map"
"Displays the page's location on Google Map.";"Displays the page's location on Google Map."

"Page Note";"Page Note"
"Displays the page's note - informative/welcome text, team members are allowed to edit this note.";"Displays the page's note - informative/welcome text, team members are allowed to edit this note."

"Page Team";"Page Team"
"Displays the page's team members.";"Displays the page's team members."

"Members Likes This";"Members Likes This"
"Displays members who liked the page.";"Displays members who liked the page."

"Page Options";"Page Options"
"Displays the page's options.";"Displays the page's options."

"Displays a page's contacts on it's profile.";"Displays Contact Form for page visitors."
"Displays a page's FAQ on it's profile.";"Displays FAQs which you can create in FAQ app section."

"Page Info";"Page Info"
"Displays the page's detailed information.";"Displays the page\'s detailed information."
"Info";"Info"
"page_Info";"Info"

"Displays search box.";"Displays search box."

"Tag Cloud";"Tags Cloud"
"Displays tags cloud box.";"Displays tags cloud box."

"Favorite Pages";"Favorite Pages"
"page_Favorite Pages";"Favorite Pages"
"Add Page To Favorites";"Add Page To Favorites"
"Displays the page's favorite pages";"Displays the page's favorite pages"

"Featured Pages Carousel";"Featured Pages Carousel"
"Wrong parameter set.";"Failed - wrong parameters. Please refresh page and try again."
"Pages does not exists.";"Page does not exist."
"Submitted by";"Submitted by"
"Page Type";"Page Type"
"Featured Pages";"Featured Pages"
"Most Popular Pages";"Most Popular Pages"
"Most Liked Pages";"Most Liked Pages"
"List";"List"
"Icons";"Icons"
"There is no location data";"There is no location data"
"Total Likes";"Total Likes"
"Sponsored";"Sponsored"
"updated";"updated"
"There was error.";"There was an error."
"More";"More"
"Changing to this layout will cause %s area(s) containing widgets to be destroyed. Are you sure you want to continue?";"Changing to this layout will cause %s area(s) containing widgets to be destroyed. Are you sure you want to continue?"
"Adds a container with a tab menu. Any other blocks you drop inside it will become tabs.";"Adds a container with a tab menu. Any other blocks you drop inside will become tabs."
"Page Links";"Page Links"
"Widgets";"Widgets"
"Edit Page";"Edit Page"
"delete link";"delete link"
"likes";"likes"
"Likes";"Likes"
"Likes, Admins and Owner";"Likes, Admins and Owner"
"Title *";"Title *"
"There are no content.";"There are no content."
"page_approved";"approved"
"page_not approved";"not approved"
"PAGE_PACKAGE_Add New Package";"Add New Package"
"PAGE_approved0";"approve"
"PAGE_approved1";"disapprove"
"PAGE_enabled0";"enable"
"PAGE_enabled1";"disable"
"PAGE_sponsored0";"set sponsored"
"PAGE_sponsored1";"set usual"
"PAGE_featured0";"set featured"
"PAGE_featured1";"set usual"
"PAGE_VIEWS_SCRIPTS_PACKAGE_CHOOSE_DESCRIPTION";"Please select the package which fits your Page needs and just click on `Continue` button to go ahead."
"PAGE_PACKAGE_CHOOSE_PAID";"You have already purchased these packages. Please just select one of these paid packages which fits your Page needs."
"PAGE_Available Options";"Available Options"
"PAGE_Subscribe Page";"Subscribe Page"
"PAGE_Subscribe Paid Page";"Subscribe Page"
"PAGE_Packages";"Packages"
"PAGE_Duration";"Duration"
"PAGE_Auto Approved";"Auto Approved"
"PAGE_Sponsored";"Sponsored"
"PAGE_Featured";"Featured"
"PAGE_Layout Editor";"Layout Editor"
"PAGE_Column Change";"Column Change"

"PAGE_FORM_GATEWAY_PAYPAL_DESCRIPTION";"Paypal Account Configuration: <br />
1) If you haven't already, you will need to establish a <a target=""_blank"" href=""%1$s"">Paypal account</a>.<br />
2) Enable <a target=""_blank"" href=""%1$s"">API access</a> on your Paypal account via: <em>My Account &gt; Profile &gt; API Access &gt; Request API credentials &gt; Request API Signature</em>.<br />
3) Insert the Paypal API <a target=""_blank"" href=""%1$s"">username, password, and signature</a> values into this form.<br />
4) Enable <a target=""_blank"" href=""%2$s"">Instant Payment Notifications</a> via: <em>My Account &gt; Profile &gt; Instant Payment Notification Preferences &gt; Choose IPN Settings</em>.  The <em>IPN messages</em> should be <strong>enabled</strong>, and the <em>Notification URL</em> should be set to:<br /><strong>%3$s</strong>"

"PAGE_page_featured0";"Not Featured"
"PAGE_page_featured1";"Featured"
"PAGE_page_approved0";"Not Approved"
"PAGE_page_approved1";"Approved"
"PAGE_page_sponsored0";"Not Sponsored"
"PAGE_page_sponsored1";"Sponsored"
"PAGE_Package";"Package"

"_EMAIL_PAGE_SUBSCRIPTION_ACTIVE_TITLE";"Page Subscription Activated"
