"Video conversion failed. Audio files are not supported. Please try again.";"Video conversion failed. Audio files are not supported. Please try again."
"Video conversion failed. Please try uploading again.";"Video conversion failed. Please try uploading again."
"Video conversion failed. Video format is not supported by FFMPEG. Please try again.";"Video conversion failed. Video format is not supported by FFMPEG. Please try again."
"Video conversion failed. You may be over the site upload limit.  Try uploading a smaller file, or delete some files to free up space.";"Video conversion failed. You may be over the site upload limit.  Try uploading a smaller file, or delete some files to free up space."
"Video doesn't exists or not authorized to delete";"Video doesn't exists or not authorized to delete"
"Video has been deleted.";"Video has been deleted."
"Video not found";"Video not found"
"Video not found.";"Video not found."
"Video posted successfully";"Video posted successfully"
"We could not find a video there - please check the URL and try again.";"We could not find a video there - please check the URL and try again."
"You already rated";"You already rated"
"You are already a member of this group.";"You are already a member of this group."
"You are already friends with this member.";"You are already friends with this member."
"You are not allowed to create playlists.";"You are not allowed to create playlists."
"You are not allowed to edit this playlist";"You are not allowed to edit this playlist"
"You are not allowed to upload songs.";"You are not allowed to upload songs."
"You are now a member of this group.";"You are now a member of this group."
"You are now following this member.";"You are now following this member."
"You are now friends with %s";"You are now friends with %s"
"You are now friends with this member.";"You are now friends with this member."
"You cannot befriend yourself.";"You cannot befriend yourself."
"You cannot share this item because it has been removed.";"You cannot share this item because it has been removed."
"You have accepted the invite to the event %s";"You have accepted the invite to the event %s"
"You have accepted the invite to the group %s";"You have accepted the invite to the group %s"
"You have already created the maximum number of classified listings allowed. If you would like to create a new listing, please delete an old one first.";"You have already created the maximum number of classified listings allowed. If you would like to create a new listing, please delete an old one first."
"You have already uploaded the maximum number of entries allowed. If you would like to upload a new entry, please delete an old one first.";"You have already uploaded the maximum number of entries allowed. If you would like to upload a new entry, please delete an old one first."
"You have already uploaded the maximum number of videos allowed. If you would like to upload a new video, please delete an old one first.";"You have already uploaded the maximum number of videos allowed. If you would like to upload a new video, please delete an old one first."
"You have ignored the invite to the event %s";"You have ignored the invite to the event %s"
"You have ignored the invite to the group %s";"You have ignored the invite to the group %s"
"You have successfully left this group.";"You have successfully left this group."
"You ignored %s's request to follow you";"You ignored %s's request to follow you"
"You ignored a friend request from %s";"You ignored a friend request from %s"
"Your blog entry has been deleted.";"Your blog entry has been deleted."
"Your changes have been saved.";"Your changes have been saved."
"Your classified listing has been deleted.";"Your classified listing has been deleted."
"Your friend request has been cancelled.";"Your friend request has been cancelled."
"Your friend request has been sent.";"Your friend request has been sent."
"Your invite request has been cancelled.";"Your invite request has been cancelled."
"Your invite request has been sent.";"Your invite request has been sent."
"Your message has been sent successfully.";"Your message has been sent successfully."
"Your report has been submitted.";"Your report has been submitted."
"Your video is currently being processed - you will be notified when it is ready to be viewed.";"Your video is currently being processed - you will be notified when it is ready to be viewed."
"Your video is in queue to be processed - you will be notified when it is ready to be viewed.";"Your video is in queue to be processed - you will be notified when it is ready to be viewed."
