"HE - Donation";"HE - Social Donation"
"DONATION_UPLOAD_A_PHOTO_DESCRIPTION";"Click ""Add Photos"" to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo list to save them to your product."
"DONATION_EXPIRY_DATE_DESC";"Select expiration date for you donation"
"DONATION_Raise_money %1$s, %2$s";"Raise Money For `%1$s` %2$s"
"DONATION_Raise_money_description %1$s, %2$s";"<br><b>It is easy to raise money for the %1$s</b>, just type your headline and story for the fundraising page and start sharing it with your friends.<br /><br />
                                                     <b>Funds are transfered directly to the %2$s</b>, you are not needed to manage or worry about funds transferring.<br /><br />"



"DONATION_There no transaction has been done yet.";"There are no transactions."
"DONATION_VIEWS_SCRIPTS_STATISTICS_TRANSACTIONS_DESCRIPTION %s";"Below you can view list of all transactions in your %s."
"DONATION_transaction %s";"Transactions for %s"
"DONATION_No order found with the provided id.";"No order has been found with the provided ID."
"DONATION_Order Details";"Order Details"
"DONATION_Title";"Donation Title"
"DONATION_Parameters";"Parameters"
"DONATION_Date";"Donation Date"
"DONATION_Payment Details";"Payment Details"
"DONATION_Gateway Transaction ID";"Transaction ID"
"DONATION_details";"Transaction Details"
"DONATION_description";"Description"
"DONATION_VIEWS_SCRIPTS_STATISTICS_CHART_DESCRIPTION";"Below you can view sales statistics for Gross Amount and Transactions Count per selected periods(week, month, year)."
"DONATION_Chart Statistic";"Donation Statistics Chart"
"DONATION_Chart";"Chart"
"DONATION_List";"List"
"DONATION_Statistics";"Donation Statistics"
"DONATION_Select a date";"Select a date"
"DONATION_Profile_statistic";"View Statistics"

"DONATION_Your changes has been saved.";"Your changes have been saved."
"DONATION_FORM_ADMIN_GLOBAL_TITLE";"Donation Settings"
"DONATION_FORM_ADMIN_GLOBAL_DESCRIPTION";"Here you can configure Social Donation plugin settings. You can totally disable Charities(or Projects/Fundraising) on your site if you do not like such type of donations. It is enough to have only one type of donation, in this case members are not given an option to select donation type."
"DONATION_Enable Fundraising?";"Enable Fundraising?"
"DONATION_Enable Charities?";"Enable Charities?"
"DONATION_Enable Projects?";"Enable Projects?"
"DONATION_Please enable charity or project";"Please enable charity or project"
"DONATION_ITEMS_PER_PAGE_LABEL";"Items Per Page"
"DONATION_ITEMS_PER_PAGE_DESCRIPTION";"The number of donations are shown per page on Browse Donations page"
"DONATION_TOP_DONORS_COUNT_LABEL";"Top Donors Count"
"DONATION_TOP_DONORS_COUNT_DESCRIPTION";"The number of donations on `Top Donors` widget"
"DONATION_SUPPORTERS_COUNT_LABEL";"Supporters Count"

"DONATION_SUPPORTERS_COUNT_DESCRIPTION";"The number of donations on `Donation Supporters` widget"
"Donated:";"Donated:"
"Top Donors";"Top Donors"
"That others have donated, first you need to enter %1$sfinancial information%2$s!";"Please provide %1$sfinancial information%2$s to receive donations."

"DONATION_SUPPORTERS_COUNT_DESCRIPTION";"The number of donations on `Donation Supporters` widget"

"DONATION_Level Settings";"Level Settings"
"DONATION_Member Level Settings";"Member Level Settings"
"DONATION_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"DONATION_Member Level";"Member Level"
"DONATION_Allow Creation of Charities?";"Allow Creation of Charities?"
"DONATION_Do you want to let members create charities?";"Do you want to let members create charities?"
"DONATION_Yes, allow creation of charities.";"Yes, allow creation of charities."
"DONATION_No, do not allow charities to be created.";"No, do not allow charities to be created."
"DONATION_Allow Creation of Projects?";"Allow Creation of Projects?"
"DONATION_Do you want to let members create projects?";"Do you want to let members create projects?"
"DONATION_Yes, allow creation of projects.";"Yes, allow creation of projects."
"DONATION_No, do not allow projects to be created.";"No, do not allow projects to be created."
"DONATION_Allow Raise Money for Donations?";"Allow Raising Money for Donations?"
"DONATION_Do you want to let members raise money for donations?";"Do you want to let members raise money for donations?"
"DONATION_Yes, allow raise money for donations.";"Yes, allow raising money for donations."
"DONATION_No, do not allow donations to be raised.";"No, do not allow donations to be raised."

"DONATION_SUBJECT_ERROR";"Subject not found!"
"DONATION_PROMOTE_BOX_TITLE";"Promote this donation using social widgets"
"DONATION_Donate_Box_Code:";"Donate Box Code:"
"DONATION_Options to show:";"Options to show:"
"DONATION_Like Button";"Like Button"
"DONATION_Donate Button";"Donate Button"
"DONATION_Supporters";"Supporters"
"DONATION_Donate_Box_Preview:";"Donate Box Preview:"
"DONATION_SUPPORTERS_COUNT_DESCRIPTION";"The number of donations on `Donation Supporters` widget"
"DONATION_Please Wait";"Please Wait"

"DONATION_Manage Donations";"Manage Causes"
"DONATION_PAGE_DONATIONS_DESCRIPTION";"Browse your causes and edit their details, remove or add new causes."
"DONATION_Edit Donation";"Edit Cause"
"DONATION_Delete Donation";"Delete Cause"
"DONATION_Posted:";"Posted:"
"DONATION_Edit Financial Information";"Edit Financial Information"
"DONATION_You do not have any donation yet.";"You do not have any cause yet."
"DONATION_Get started by creating %1$scharity%2$s or %3$sproject%4$s donation.";"Get started by creating %1$scharity%2$s or %3$sproject%4$s cause."
"DONATION_Get started by creating %1$scharity%2$s donation.";"Get started by creating %1$scharity%2$s cause."
"DONATION_Get started by creating %1$sproject%2$s donation.";"Get started by creating %1$sproject%2$s cause."
"DONATION_Create New Charity";"Create New Charity"
"DONATION_Create New Project";"Create New Project"
"DONATION_Payment Pending";"Payment Pending"
"DONATION_Payment Complete";"Payment Complete"
"DONATION_Payment Failed";"Payment Failed"
"DONATION_Go to Top Donors List";"Go to Top Donors page"
"DONATION_PAYMENT_PENDING_DESCRIPTION";"Thank you for submitting your payment. Your payment is currently pending - you will be informed when we are notified that the payment has completed successfully."
"DONATION_PAYMENT_COMPLETED_DESCRIPTION";"Thank you! Your payment has been completed successfully."
"DONATION_PAYMENT_FAILED_DESCRIPTION";"Your payment could not be completed."
"DONATION_Status";"Status"
"DONATION_Nobody has donated yet";"Nobody has donated yet"
"DONATION_Nobody has raised money for any donation yet.";"Nobody has raised money for any cause yet."
"DONATION_FinInfo";"Please set here your PayPal Email Address to receive donations."

"_ACTIVITY_ACTIONTYPE_DONATION_CHARITY_NEW";"New charity entries"
"_ACTIVITY_ACTIONTYPE_DONATION_FUNDRAISE_NEW";"New fundraise entries"
"_ACTIVITY_ACTIONTYPE_DONATION_PROJECT_NEW";"New project entries"
"ADMIN_ACTIVITY_TYPE_DONATION_CHARITY_NEW";"When a user creates a new charity (subject)."
"ADMIN_ACTIVITY_TYPE_DONATION_FUNDRAISE_NEW";"When a user creates a new fundraise (subject) for charity or project (object)."
"ADMIN_ACTIVITY_TYPE_DONATION_PROJECT_NEW";"When a user creates a new project (subject)."
"_ACTIVITY_ACTIONTYPE_PAGE_CHARITY_NEW";"New charity entries in Page"
